Building/  Project Name,Street Name,Postal District,Type,No. of Bedroom  (for Non-Landed Only),Monthly Rent  ($),Floor Area (Sqft)  1,Lease  Commencement  Date
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,3200,700 to 800,Feb-21
283 STUDIO,RIVER VALLEY ROAD,9,Non-landed Properties,1,2000,500 to 600,Feb-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,2700,500 to 600,Jan-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2500,500 to 600,Jan-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,1750,400 to 500,Jan-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,3200,700 to 800,Jan-21
283 STUDIO,RIVER VALLEY ROAD,9,Non-landed Properties,1,2750,1200 to 1300,Jan-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2900,800 to 900,Jan-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2000,400 to 500,Jan-21
28 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,3,3150,1100 to 1200,Jan-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,2800,500 to 600,Jan-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,1,1868,500 to 600,Jun-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2500,600 to 700,Jun-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,3000,800 to 900,Jun-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,2650,600 to 700,Jun-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,2800,800 to 900,Jun-21
38 AMBER,AMBER ROAD,15,Non-landed Properties,2,3000,800 to 900,Jun-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,4,5000,1700 to 1800,Jun-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2300,500 to 600,Jun-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2700,1000 to 1100,Jun-21
336 RIVER VALLEY,RIVER VALLEY ROAD,9,Non-landed Properties,2,3605,1500 to 1600,Jun-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,3,3900,1300 to 1400,May-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2050,400 to 500,May-21
38 AMBER,AMBER ROAD,15,Non-landed Properties,3,3400,1100 to 1200,May-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,2000,600 to 700,May-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,3600,1200 to 1300,May-21
38 AMBER,AMBER ROAD,15,Non-landed Properties,3,3500,1100 to 1200,May-21
336 RIVER VALLEY,RIVER VALLEY ROAD,9,Non-landed Properties,3,5940,>3000,May-21
38 AMBER,AMBER ROAD,15,Non-landed Properties,2,3000,800 to 900,May-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,3000,800 to 900,May-21
336 RIVER VALLEY,RIVER VALLEY ROAD,9,Non-landed Properties,2,3465,1500 to 1600,May-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2000,500 to 600,May-21
38 AMBER,AMBER ROAD,15,Non-landed Properties,3,3350,1100 to 1200,May-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,3,3900,1300 to 1400,Apr-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,1,1800,400 to 500,Apr-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,3060,800 to 900,Apr-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,1,2250,500 to 600,Apr-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,3050,800 to 900,Apr-21
38 AMBER,AMBER ROAD,15,Non-landed Properties,2,2900,800 to 900,Apr-21
336 RIVER VALLEY,RIVER VALLEY ROAD,9,Non-landed Properties,2,3886,1500 to 1600,Apr-21
336 RIVER VALLEY,RIVER VALLEY ROAD,9,Non-landed Properties,2,3792,1500 to 1600,Apr-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2100,500 to 600,Apr-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,3100,800 to 900,Apr-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2200,600 to 700,Apr-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,1,1900,400 to 500,Apr-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,1,1800,400 to 500,Mar-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2400,600 to 700,Mar-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,2600,600 to 700,Mar-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,3,4000,1300 to 1400,Mar-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,1,1800,400 to 500,Mar-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2000,600 to 700,Mar-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,3000,800 to 900,Mar-21
38 AMBER,AMBER ROAD,15,Non-landed Properties,2,3000,800 to 900,Mar-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,1,2000,500 to 600,Mar-21
336 RIVER VALLEY,RIVER VALLEY ROAD,9,Non-landed Properties,2,3325,1500 to 1600,Mar-21
38 AMBER,AMBER ROAD,15,Non-landed Properties,3,3300,1200 to 1300,Mar-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,2900,800 to 900,Feb-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,3100,800 to 900,Feb-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,3200,800 to 900,Feb-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2300,600 to 700,Feb-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2000,500 to 600,Feb-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,2800,800 to 900,Feb-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,3,3500,1300 to 1400,Feb-21
38 AMBER,AMBER ROAD,15,Non-landed Properties,3,3500,1100 to 1200,Feb-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2000,400 to 500,Jan-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2400,600 to 700,Jan-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,1,1950,400 to 500,Jan-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,4,5250,1700 to 1800,Jan-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,4,5000,1700 to 1800,Jan-21
3 ORCHARD BY-THE-PARK,ORCHARD BOULEVARD,10,Non-landed Properties,4,12000,2200 to 2300,Jan-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,1,1900,400 to 500,Jan-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2000,400 to 500,Jan-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,1,2500,500 to 600,Jan-21
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,3200,800 to 900,Jan-21
336 RIVER VALLEY,RIVER VALLEY ROAD,9,Non-landed Properties,2,3642,1500 to 1600,Jan-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2400,600 to 700,Jan-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2100,500 to 600,Jan-21
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,2400,600 to 700,Jan-21
38 AMBER,AMBER ROAD,15,Non-landed Properties,3,3450,1100 to 1200,Jan-21
38 JERVOIS,JERVOIS ROAD,10,Non-landed Properties,3,4000,800 to 900,Jun-21
3@SANDILANDS,SANDILANDS ROAD,19,Non-landed Properties,2,2200,700 to 800,Jun-21
448@EAST COAST,EAST COAST ROAD,15,Non-landed Properties,2,1950,600 to 700,May-21
448@EAST COAST,EAST COAST ROAD,15,Non-landed Properties,1,1700,400 to 500,Apr-21
3@SANDILANDS,SANDILANDS ROAD,19,Non-landed Properties,2,2200,700 to 800,Mar-21
448@EAST COAST,EAST COAST ROAD,15,Non-landed Properties,1,1800,400 to 500,Feb-21
38 JERVOIS,JERVOIS ROAD,10,Non-landed Properties,1,2400,400 to 500,Feb-21
448@EAST COAST,EAST COAST ROAD,15,Non-landed Properties,1,2000,400 to 500,Jan-21
38 JERVOIS,JERVOIS ROAD,10,Non-landed Properties,3,4000,800 to 900,Jan-21
3@SANDILANDS,SANDILANDS ROAD,19,Non-landed Properties,2,2300,700 to 800,Jan-21
448@EAST COAST,EAST COAST ROAD,15,Non-landed Properties,2,2100,500 to 600,Jan-21
38 JERVOIS,JERVOIS ROAD,10,Non-landed Properties,2,3700,1000 to 1100,Jan-21
448@EAST COAST,EAST COAST ROAD,15,Non-landed Properties,1,1900,400 to 500,Jan-21
3@PHILLIPS,PHILLIPS AVENUE,19,Non-landed Properties,3,2350,1000 to 1100,Jan-21
38 JERVOIS,JERVOIS ROAD,10,Non-landed Properties,2,3800,1000 to 1100,Jan-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2400,500 to 600,Jun-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,3,3700,1000 to 1100,Jun-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3400,600 to 700,Jun-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,3,4000,1000 to 1100,Jun-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3800,600 to 700,Jun-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4000,900 to 1000,Jun-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4650,900 to 1000,Jun-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,2,2900,700 to 800,Jun-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3300,600 to 700,Jun-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,3300,700 to 800,Jun-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4400,900 to 1000,Jun-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4500,900 to 1000,Jun-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2500,500 to 600,Jun-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3700,500 to 600,Jun-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,1,2100,400 to 500,Jun-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3100,500 to 600,Jun-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3600,500 to 600,Jun-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2500,500 to 600,Jun-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2300,500 to 600,Jun-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,3200,800 to 900,Jun-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2400,500 to 600,Jun-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,1,2900,600 to 700,Jun-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3100,500 to 600,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3300,500 to 600,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,5100,900 to 1000,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4200,900 to 1000,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3100,500 to 600,May-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2400,400 to 500,May-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,1,2300,400 to 500,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3200,500 to 600,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3250,600 to 700,May-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,2,4400,2000 to 2100,May-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,1,3100,600 to 700,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3100,500 to 600,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3200,500 to 600,May-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,3300,700 to 800,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3000,500 to 600,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3000,500 to 600,May-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,1,2950,600 to 700,May-21
70@TRURO,TRURO ROAD,8,Non-landed Properties,2,2350,400 to 500,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3400,500 to 600,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4400,900 to 1000,May-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,1,2100,500 to 600,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4800,900 to 1000,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3500,600 to 700,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,2900,500 to 600,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,5100,900 to 1000,May-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4200,900 to 1000,Apr-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,3500,800 to 900,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3200,600 to 700,Apr-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2750,500 to 600,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3100,600 to 700,Apr-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,3400,800 to 900,Apr-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,1,2750,600 to 700,Apr-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2500,500 to 600,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4500,900 to 1000,Apr-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2700,500 to 600,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4800,900 to 1000,Apr-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2300,500 to 600,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4900,900 to 1000,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3700,600 to 700,Apr-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,3200,700 to 800,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3300,600 to 700,Apr-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,3,4000,1000 to 1100,Apr-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,2,3000,700 to 800,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3100,600 to 700,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3300,600 to 700,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,5000,900 to 1000,Apr-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2300,400 to 500,Apr-21
70@TRURO,TRURO ROAD,8,Non-landed Properties,3,3600,800 to 900,Apr-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,1,2900,600 to 700,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,4200,600 to 700,Apr-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,2,3000,700 to 800,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4700,900 to 1000,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4400,900 to 1000,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3200,500 to 600,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3400,500 to 600,Apr-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4700,900 to 1000,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3700,600 to 700,Mar-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,3200,800 to 900,Mar-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2500,400 to 500,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,5000,900 to 1000,Mar-21
70@TRURO,TRURO ROAD,8,Non-landed Properties,3,3200,800 to 900,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3200,600 to 700,Mar-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2300,500 to 600,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3950,600 to 700,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4300,900 to 1000,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3100,600 to 700,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,5000,900 to 1000,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3200,600 to 700,Mar-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,3,3800,1000 to 1100,Mar-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2400,500 to 600,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3100,500 to 600,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3000,500 to 600,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3000,500 to 600,Mar-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2150,400 to 500,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4350,900 to 1000,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3000,500 to 600,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,2800,500 to 600,Mar-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3000,500 to 600,Feb-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3300,600 to 700,Feb-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,1,1850,400 to 500,Feb-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2650,500 to 600,Feb-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4300,900 to 1000,Feb-21
70@TRURO,TRURO ROAD,8,Non-landed Properties,3,3300,800 to 900,Feb-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4300,900 to 1000,Feb-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3000,500 to 600,Feb-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2500,500 to 600,Feb-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,2900,500 to 600,Feb-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2400,500 to 600,Feb-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,3300,700 to 800,Feb-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,5100,900 to 1000,Feb-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3000,500 to 600,Feb-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4300,900 to 1000,Feb-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,2600,500 to 600,Feb-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,3000,800 to 900,Feb-21
70@TRURO,TRURO ROAD,8,Non-landed Properties,3,3400,800 to 900,Feb-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3200,500 to 600,Feb-21
70@TRURO,TRURO ROAD,8,Non-landed Properties,2,2350,400 to 500,Feb-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,5300,900 to 1000,Feb-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2200,400 to 500,Feb-21
57 @ KOVAN,KOVAN ROAD,19,Non-landed Properties,3,2600,1200 to 1300,Feb-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2300,500 to 600,Feb-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4400,900 to 1000,Feb-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,3,3700,1000 to 1100,Feb-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,2800,700 to 800,Jan-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3000,500 to 600,Jan-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3000,500 to 600,Jan-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,3,5000,1000 to 1100,Jan-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4500,900 to 1000,Jan-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3000,500 to 600,Jan-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,3000,700 to 800,Jan-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4650,900 to 1000,Jan-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3300,600 to 700,Jan-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3000,500 to 600,Jan-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4300,900 to 1000,Jan-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,2600,500 to 600,Jan-21
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,1,3100,600 to 700,Jan-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2450,500 to 600,Jan-21
70@TRURO,TRURO ROAD,8,Non-landed Properties,3,3300,800 to 900,Jan-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,3300,800 to 900,Jan-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3200,600 to 700,Jan-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2350,400 to 500,Jan-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,1,3200,500 to 600,Jan-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,2200,500 to 600,Jan-21
70@TRURO,TRURO ROAD,8,Non-landed Properties,2,2400,400 to 500,Jan-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,3000,500 to 600,Jan-21
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,3200,800 to 900,Jan-21
76 SHENTON,SHENTON WAY,2,Non-landed Properties,2,4400,900 to 1000,Jan-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,2,4200,1100 to 1200,Jun-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,3,5600,1400 to 1500,Jun-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,2,5000,1000 to 1100,Jun-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,3,6000,1400 to 1500,Jun-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,3,6000,1300 to 1400,Jun-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,1,3300,800 to 900,Jun-21
8 NAPIER,NAPIER ROAD,10,Non-landed Properties,4,15500,2700 to 2800,Jun-21
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,2200,400 to 500,Jun-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,3,4700,1300 to 1400,Jun-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,3,5700,1300 to 1400,Jun-21
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,1900,400 to 500,Jun-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,1,3250,800 to 900,Jun-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,1,3200,800 to 900,Jun-21
8 NAPIER,NAPIER ROAD,10,Non-landed Properties,3,13000,2000 to 2100,Jun-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,1,3000,800 to 900,Jun-21
8 FARRER SUITES,SING JOO WALK,8,Non-landed Properties,3,3500,1300 to 1400,Jun-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,1,3200,800 to 900,Jun-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,2,4000,1000 to 1100,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,1,3300,800 to 900,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,1,3200,900 to 1000,May-21
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,2050,400 to 500,May-21
8 NAPIER,NAPIER ROAD,10,Non-landed Properties,3,10000,2000 to 2100,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,2,4550,1100 to 1200,May-21
8 NAPIER,NAPIER ROAD,10,Non-landed Properties,3,13000,2000 to 2100,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,1,3200,800 to 900,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,1,3200,800 to 900,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,2,4400,1100 to 1200,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,3,5100,1400 to 1500,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,3,4900,1300 to 1400,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,2,4000,1000 to 1100,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,3,5600,1400 to 1500,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,3,5900,1300 to 1400,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,1,3300,900 to 1000,May-21
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,2200,400 to 500,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,2,4000,1000 to 1100,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,3,5800,1400 to 1500,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,1,3200,800 to 900,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,3,5300,1500 to 1600,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,3,5600,1300 to 1400,May-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,2,4400,1100 to 1200,Apr-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,2,4250,1100 to 1200,Apr-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,1,3200,800 to 900,Apr-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,Non-landed Properties,2,5000,1000 to 1100,Apr-21
